Age,Gender,Height,Weight,BMI,FitnessGoal,ActivityLevel,Budget,DietaryPreference,AvailableEquipment,HealthCondition,WorkoutCategory,MealCategory
34,Male,181,54,16.5,Weight Loss,Light,Medium,Low-Calorie,Bodyweight,Diabetes,Low-Impact,Balanced
21,Other,154,73,30.8,Weight Loss,Moderate,Medium,Vegetarian,Basic,None,Cardio-Focus,Low-Calorie
38,Female,155,67,27.9,Muscle Gain,Moderate,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
35,Female,186,72,20.8,Weight Loss,Sedentary,Low,Balanced,Gym,Hypertension,Low-Impact,Balanced
27,Female,158,51,20.4,Maintenance,Moderate,Medium,Vegetarian,Basic,None,Beginner-Home,Balanced
17,Other,152,58,25.1,Maintenance,Very Active,Medium,Vegetarian,Gym,None,Intermediate-Gym,Balanced
43,Other,170,75,26.0,Maintenance,Very Active,Medium,Low-Calorie,Bodyweight,None,Beginner-Home,Balanced
21,Female,173,65,21.7,Weight Loss,Light,Low,Balanced,Gym,None,Beginner-Home,Low-Calorie
22,Male,154,78,32.9,Weight Loss,Moderate,Medium,High-Protein,Basic,None,Cardio-Focus,Low-Calorie
34,Other,174,71,23.5,Muscle Gain,Light,Low,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
40,Female,178,58,18.3,Muscle Gain,Light,Medium,Vegetarian,Bodyweight,None,Intermediate-Gym,High-Protein
41,Female,181,65,19.8,Weight Loss,Moderate,Medium,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
35,Other,151,75,32.9,Maintenance,Sedentary,Medium,Balanced,Bodyweight,None,Beginner-Home,Balanced
17,Male,187,59,16.9,Muscle Gain,Moderate,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
19,Other,164,92,34.2,Muscle Gain,Light,High,Vegetarian,Bodyweight,Joint Pain,Low-Impact,Balanced
34,Female,153,56,23.9,Maintenance,Active,Medium,Balanced,Bodyweight,None,Beginner-Home,Balanced
40,Male,160,74,28.9,Weight Loss,Light,Medium,Low-Calorie,Bodyweight,None,Beginner-Home,Low-Calorie
43,Female,167,54,19.4,Muscle Gain,Sedentary,Low,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
31,Other,157,89,36.1,Weight Loss,Active,Medium,High-Protein,Basic,None,Cardio-Focus,Low-Calorie
22,Male,168,81,28.7,Weight Loss,Sedentary,Medium,Balanced,Basic,Diabetes,Low-Impact,Balanced
43,Male,164,66,24.5,Weight Loss,Active,High,Balanced,Basic,None,Cardio-Focus,Balanced
32,Other,164,75,27.9,Muscle Gain,Light,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
39,Female,159,59,23.3,Muscle Gain,Moderate,Low,Vegetarian,Gym,None,Strength-Focus,High-Protein
30,Male,174,61,20.1,Weight Loss,Light,Medium,Vegetarian,Basic,None,Beginner-Home,Low-Calorie
22,Female,181,56,17.1,Weight Loss,Sedentary,Low,Vegetarian,Bodyweight,None,Beginner-Home,Low-Calorie
21,Female,181,51,15.6,Maintenance,Active,Low,Balanced,Basic,None,Beginner-Home,Balanced
30,Female,166,93,33.7,Maintenance,Moderate,High,Vegetarian,Gym,None,Intermediate-Gym,Balanced
26,Other,183,91,27.2,Weight Loss,Light,High,Balanced,Basic,None,Beginner-Home,Balanced
40,Male,182,93,28.1,Weight Loss,Very Active,Low,Low-Calorie,Basic,None,Beginner-Home,Low-Calorie
35,Female,185,52,15.2,Maintenance,Moderate,Medium,Vegetarian,Basic,None,Beginner-Home,Balanced
37,Female,172,92,31.1,Muscle Gain,Active,Medium,High-Protein,Basic,Diabetes,Low-Impact,Balanced
17,Male,158,58,23.2,Maintenance,Light,Medium,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
21,Male,161,89,34.3,Weight Loss,Very Active,Low,Balanced,Gym,None,Beginner-Home,Low-Calorie
18,Male,157,52,21.1,Maintenance,Moderate,High,Vegetarian,Basic,Hypertension,Low-Impact,Balanced
44,Female,176,63,20.3,Muscle Gain,Very Active,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
39,Male,160,87,34.0,Muscle Gain,Light,Medium,Balanced,Basic,None,Strength-Focus,High-Protein
19,Other,172,52,17.6,Weight Loss,Active,Low,High-Protein,Basic,None,Cardio-Focus,Low-Calorie
44,Female,176,60,19.4,Muscle Gain,Active,Medium,Balanced,Basic,None,Strength-Focus,High-Protein
36,Male,170,51,17.6,Muscle Gain,Very Active,Medium,High-Protein,Basic,Joint Pain,Low-Impact,Balanced
40,Female,168,93,33.0,Muscle Gain,Light,Medium,Balanced,Gym,None,Strength-Focus,High-Protein
26,Other,177,60,19.2,Weight Loss,Sedentary,Medium,Balanced,Bodyweight,None,Beginner-Home,Low-Calorie
44,Male,160,67,26.2,Maintenance,Moderate,Medium,Balanced,Basic,None,Beginner-Home,Balanced
44,Male,160,50,19.5,Maintenance,Very Active,High,High-Protein,Gym,Diabetes,Low-Impact,Balanced
37,Female,187,72,20.6,Muscle Gain,Light,Medium,Balanced,Gym,None,Strength-Focus,High-Protein
29,Male,152,60,26.0,Muscle Gain,Active,Low,Balanced,Basic,None,Strength-Focus,High-Protein
43,Female,172,93,31.4,Weight Loss,Active,Medium,Balanced,Basic,None,Cardio-Focus,Low-Calorie
19,Male,184,54,15.9,Weight Loss,Light,Medium,Balanced,Basic,Diabetes,Low-Impact,Balanced
26,Other,174,80,26.4,Muscle Gain,Moderate,Medium,High-Protein,Gym,None,Strength-Focus,High-Protein
44,Other,172,59,19.9,Weight Loss,Moderate,Medium,Balanced,Bodyweight,None,Cardio-Focus,Low-Calorie
18,Male,182,56,16.9,Maintenance,Active,High,High-Protein,Bodyweight,None,Beginner-Home,Balanced
33,Male,175,52,17.0,Muscle Gain,Moderate,Medium,Vegetarian,Bodyweight,None,Intermediate-Gym,High-Protein
32,Female,175,67,21.9,Muscle Gain,Active,High,High-Protein,Bodyweight,Diabetes,Low-Impact,Balanced
30,Female,158,93,37.3,Weight Loss,Light,Medium,Balanced,Bodyweight,Hypertension,Low-Impact,Balanced
21,Female,153,79,33.7,Maintenance,Moderate,Low,High-Protein,Bodyweight,Joint Pain,Low-Impact,Balanced
27,Female,183,82,24.5,Weight Loss,Moderate,High,Vegetarian,Bodyweight,Joint Pain,Low-Impact,Balanced
34,Other,185,94,27.5,Muscle Gain,Sedentary,Medium,High-Protein,Basic,Joint Pain,Low-Impact,Balanced
39,Female,175,64,20.9,Weight Loss,Moderate,Medium,Balanced,Gym,None,Cardio-Focus,Low-Calorie
29,Male,166,70,25.4,Weight Loss,Moderate,High,High-Protein,Basic,Hypertension,Low-Impact,Balanced
25,Male,167,76,27.3,Weight Loss,Moderate,High,Vegetarian,Basic,Diabetes,Low-Impact,Balanced
37,Female,150,58,25.8,Maintenance,Light,Low,Balanced,Bodyweight,None,Beginner-Home,Balanced
24,Other,165,54,19.8,Maintenance,Moderate,Medium,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
34,Male,182,53,16.0,Maintenance,Sedentary,Medium,Vegetarian,Basic,None,Beginner-Home,Balanced
29,Other,175,57,18.6,Weight Loss,Moderate,Low,Balanced,Bodyweight,None,Cardio-Focus,Low-Calorie
26,Male,161,92,35.5,Weight Loss,Moderate,Medium,High-Protein,Basic,Joint Pain,Low-Impact,Balanced
23,Male,180,79,24.4,Muscle Gain,Sedentary,Medium,High-Protein,Basic,None,Strength-Focus,High-Protein
43,Other,152,79,34.2,Weight Loss,Moderate,Medium,Balanced,Basic,None,Cardio-Focus,Low-Calorie
35,Female,159,76,30.1,Muscle Gain,Light,Medium,Low-Calorie,Basic,Joint Pain,Low-Impact,Balanced
39,Female,152,67,29.0,Maintenance,Light,Medium,Vegetarian,Basic,Joint Pain,Low-Impact,Balanced
30,Male,169,86,30.1,Weight Loss,Active,Medium,High-Protein,Gym,None,Cardio-Focus,Low-Calorie
34,Female,163,78,29.4,Muscle Gain,Moderate,Low,Balanced,Gym,Joint Pain,Low-Impact,Balanced
30,Other,183,58,17.3,Maintenance,Moderate,High,Balanced,Bodyweight,None,Beginner-Home,Balanced
36,Male,162,52,19.8,Muscle Gain,Moderate,Low,Balanced,Gym,None,Strength-Focus,High-Protein
32,Other,183,82,24.5,Weight Loss,Light,Medium,Low-Calorie,Basic,Joint Pain,Low-Impact,Balanced
24,Male,175,62,20.2,Maintenance,Moderate,High,High-Protein,Basic,None,Beginner-Home,Balanced
43,Other,181,94,28.7,Weight Loss,Moderate,Low,Balanced,Gym,Hypertension,Low-Impact,Balanced
27,Male,187,83,23.7,Muscle Gain,Moderate,Low,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
35,Female,170,75,26.0,Muscle Gain,Active,Low,Balanced,Basic,Diabetes,Low-Impact,Balanced
17,Female,188,77,21.8,Maintenance,Light,High,Balanced,Basic,None,Beginner-Home,Balanced
18,Male,172,53,17.9,Muscle Gain,Active,High,Balanced,Basic,None,Strength-Focus,High-Protein
25,Other,184,56,16.5,Maintenance,Sedentary,Low,Balanced,Bodyweight,None,Beginner-Home,Balanced
42,Other,170,90,31.1,Weight Loss,Moderate,High,Balanced,Bodyweight,None,Cardio-Focus,Balanced
42,Other,177,64,20.4,Maintenance,Moderate,Medium,Balanced,Gym,None,Intermediate-Gym,Balanced
24,Female,187,81,23.2,Weight Loss,Sedentary,High,Balanced,Basic,None,Beginner-Home,Balanced
30,Male,150,87,38.7,Weight Loss,Moderate,Medium,Balanced,Bodyweight,None,Cardio-Focus,Low-Calorie
35,Other,153,91,38.9,Muscle Gain,Sedentary,High,Balanced,Gym,None,Strength-Focus,High-Protein
39,Male,161,76,29.3,Muscle Gain,Light,Medium,Balanced,Gym,None,Strength-Focus,High-Protein
30,Other,181,92,28.1,Maintenance,Light,High,Balanced,Bodyweight,None,Beginner-Home,Balanced
36,Male,188,59,16.7,Muscle Gain,Light,High,Balanced,Bodyweight,Diabetes,Low-Impact,Balanced
44,Male,169,52,18.2,Maintenance,Very Active,Medium,Balanced,Bodyweight,None,Beginner-Home,Balanced
43,Other,185,68,19.9,Weight Loss,Moderate,Medium,Vegetarian,Bodyweight,None,Cardio-Focus,Low-Calorie
27,Other,178,68,21.5,Weight Loss,Very Active,Low,Low-Calorie,Bodyweight,Diabetes,Low-Impact,Balanced
40,Female,175,55,18.0,Maintenance,Moderate,Medium,Low-Calorie,Bodyweight,None,Beginner-Home,Balanced
40,Male,187,85,24.3,Weight Loss,Active,Medium,Vegetarian,Bodyweight,Hypertension,Low-Impact,Balanced
36,Other,175,76,24.8,Maintenance,Very Active,Medium,Vegetarian,Basic,Hypertension,Low-Impact,Balanced
17,Male,174,59,19.5,Muscle Gain,Sedentary,Low,Vegetarian,Basic,None,Strength-Focus,High-Protein
39,Female,164,66,24.5,Maintenance,Very Active,Medium,Low-Calorie,Basic,None,Beginner-Home,Balanced
32,Female,178,93,29.4,Maintenance,Active,Low,Vegetarian,Bodyweight,None,Beginner-Home,Balanced
40,Female,174,80,26.4,Maintenance,Light,Medium,Balanced,Bodyweight,None,Beginner-Home,Balanced
38,Female,172,85,28.7,Muscle Gain,Active,Low,Balanced,Basic,None,Strength-Focus,High-Protein
25,Other,171,78,26.7,Maintenance,Light,Medium,Low-Calorie,Bodyweight,None,Beginner-Home,Balanced
35,Female,162,70,26.7,Maintenance,Moderate,Medium,High-Protein,Bodyweight,Joint Pain,Low-Impact,Balanced
38,Female,184,75,22.2,Weight Loss,Sedentary,Medium,Low-Calorie,Bodyweight,None,Beginner-Home,Low-Calorie
26,Male,155,69,28.7,Muscle Gain,Sedentary,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
25,Male,161,91,35.1,Maintenance,Light,Medium,High-Protein,Basic,None,Beginner-Home,Balanced
28,Other,161,58,22.4,Weight Loss,Sedentary,Medium,Balanced,Bodyweight,None,Beginner-Home,Low-Calorie
18,Male,168,94,33.3,Muscle Gain,Moderate,Low,Balanced,Bodyweight,Diabetes,Low-Impact,Balanced
21,Other,152,74,32.0,Muscle Gain,Light,Low,High-Protein,Bodyweight,None,Intermediate-Gym,High-Protein
33,Other,159,63,24.9,Weight Loss,Light,Medium,Vegetarian,Basic,None,Beginner-Home,Low-Calorie
42,Female,170,79,27.3,Weight Loss,Sedentary,Medium,Vegetarian,Bodyweight,None,Beginner-Home,Low-Calorie
25,Female,181,83,25.3,Weight Loss,Moderate,Medium,Balanced,Bodyweight,Diabetes,Low-Impact,Balanced
22,Female,184,76,22.4,Weight Loss,Moderate,Medium,Low-Calorie,Gym,Diabetes,Low-Impact,Balanced
24,Female,162,70,26.7,Weight Loss,Moderate,Medium,Low-Calorie,Bodyweight,Hypertension,Low-Impact,Balanced
24,Male,157,90,36.5,Muscle Gain,Moderate,Medium,Low-Calorie,Bodyweight,None,Intermediate-Gym,High-Protein
35,Male,150,94,41.8,Maintenance,Active,Low,High-Protein,Basic,None,Beginner-Home,Balanced
19,Other,163,92,34.6,Maintenance,Moderate,High,Balanced,Gym,Diabetes,Low-Impact,Balanced
42,Other,154,60,25.3,Weight Loss,Light,Medium,High-Protein,Bodyweight,None,Beginner-Home,Low-Calorie
29,Other,177,54,17.2,Maintenance,Active,Medium,Vegetarian,Gym,None,Intermediate-Gym,Balanced
41,Other,189,65,18.2,Muscle Gain,Sedentary,Medium,High-Protein,Bodyweight,Joint Pain,Low-Impact,Balanced
41,Other,189,85,23.8,Muscle Gain,Moderate,High,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
41,Male,151,86,37.7,Muscle Gain,Sedentary,Medium,Balanced,Basic,None,Strength-Focus,High-Protein
31,Female,177,73,23.3,Muscle Gain,Very Active,High,Vegetarian,Bodyweight,None,Intermediate-Gym,High-Protein
39,Male,182,92,27.8,Muscle Gain,Moderate,Medium,Balanced,Gym,Joint Pain,Low-Impact,Balanced
33,Female,184,54,15.9,Maintenance,Light,Medium,Balanced,Basic,None,Beginner-Home,Balanced
41,Other,157,80,32.5,Muscle Gain,Light,High,Balanced,Bodyweight,Diabetes,Low-Impact,Balanced
38,Male,162,82,31.2,Weight Loss,Active,Low,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
35,Male,188,92,26.0,Muscle Gain,Sedentary,High,High-Protein,Bodyweight,Joint Pain,Low-Impact,Balanced
30,Other,178,73,23.0,Weight Loss,Moderate,Medium,Vegetarian,Basic,None,Cardio-Focus,Low-Calorie
41,Other,184,85,25.1,Muscle Gain,Light,High,Vegetarian,Bodyweight,None,Intermediate-Gym,High-Protein
26,Female,172,50,16.9,Maintenance,Light,Medium,Vegetarian,Basic,None,Beginner-Home,Balanced
29,Female,178,60,18.9,Muscle Gain,Sedentary,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
42,Other,188,91,25.7,Weight Loss,Active,Medium,Balanced,Basic,None,Cardio-Focus,Low-Calorie
44,Male,177,78,24.9,Weight Loss,Sedentary,Medium,Vegetarian,Bodyweight,None,Beginner-Home,Low-Calorie
36,Other,179,82,25.6,Weight Loss,Very Active,High,Balanced,Bodyweight,None,Beginner-Home,Balanced
20,Male,154,81,34.2,Muscle Gain,Moderate,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
33,Female,179,57,17.8,Weight Loss,Light,Low,High-Protein,Bodyweight,None,Beginner-Home,Low-Calorie
30,Other,188,89,25.2,Maintenance,Sedentary,Medium,High-Protein,Gym,None,Intermediate-Gym,Balanced
31,Male,181,76,23.2,Maintenance,Light,Low,Low-Calorie,Bodyweight,Hypertension,Low-Impact,Balanced
26,Other,163,91,34.3,Weight Loss,Light,Medium,Balanced,Bodyweight,None,Beginner-Home,Low-Calorie
32,Female,182,71,21.4,Maintenance,Light,High,Balanced,Bodyweight,Joint Pain,Low-Impact,Balanced
33,Female,156,76,31.2,Weight Loss,Active,Medium,High-Protein,Basic,Joint Pain,Low-Impact,Balanced
23,Male,171,56,19.2,Weight Loss,Light,Medium,Balanced,Bodyweight,None,Beginner-Home,Low-Calorie
18,Male,157,88,35.7,Maintenance,Moderate,Low,Vegetarian,Bodyweight,None,Beginner-Home,Balanced
43,Other,157,62,25.2,Weight Loss,Moderate,Medium,High-Protein,Basic,None,Cardio-Focus,Low-Calorie
17,Male,169,77,27.0,Muscle Gain,Moderate,Medium,High-Protein,Bodyweight,None,Intermediate-Gym,High-Protein
22,Male,161,94,36.3,Weight Loss,Very Active,Medium,High-Protein,Bodyweight,Hypertension,Low-Impact,Balanced
39,Female,175,85,27.8,Muscle Gain,Sedentary,Medium,High-Protein,Bodyweight,None,Intermediate-Gym,High-Protein
18,Female,174,89,29.4,Maintenance,Light,Low,High-Protein,Bodyweight,Joint Pain,Low-Impact,Balanced
25,Male,157,64,26.0,Weight Loss,Active,Medium,Balanced,Bodyweight,None,Cardio-Focus,Low-Calorie
24,Female,189,50,14.0,Maintenance,Sedentary,High,Balanced,Basic,Diabetes,Low-Impact,Balanced
24,Male,157,52,21.1,Weight Loss,Active,Low,High-Protein,Gym,None,Cardio-Focus,Low-Calorie
41,Male,172,62,21.0,Maintenance,Light,Medium,Vegetarian,Basic,None,Beginner-Home,Balanced
40,Other,156,59,24.2,Muscle Gain,Moderate,High,High-Protein,Basic,None,Strength-Focus,High-Protein
42,Male,165,63,23.1,Maintenance,Sedentary,Medium,Balanced,Basic,None,Beginner-Home,Balanced
32,Other,176,91,29.4,Muscle Gain,Sedentary,High,Low-Calorie,Gym,None,Strength-Focus,High-Protein
41,Male,164,62,23.1,Maintenance,Sedentary,Low,Balanced,Bodyweight,Diabetes,Low-Impact,Balanced
32,Male,165,71,26.1,Maintenance,Moderate,Medium,Low-Calorie,Basic,Diabetes,Low-Impact,Balanced
34,Other,155,52,21.6,Muscle Gain,Moderate,High,Balanced,Bodyweight,Hypertension,Low-Impact,Balanced
20,Other,157,88,35.7,Muscle Gain,Moderate,Medium,Balanced,Basic,Diabetes,Low-Impact,Balanced
27,Other,181,88,26.9,Weight Loss,Light,Medium,Balanced,Basic,None,Beginner-Home,Low-Calorie
25,Male,156,66,27.1,Maintenance,Light,Medium,Balanced,Basic,None,Beginner-Home,Balanced
34,Other,188,84,23.8,Weight Loss,Moderate,Low,Vegetarian,Bodyweight,None,Cardio-Focus,Low-Calorie
44,Other,165,92,33.8,Muscle Gain,Sedentary,Medium,Vegetarian,Basic,None,Strength-Focus,High-Protein
30,Male,188,84,23.8,Weight Loss,Moderate,Low,Balanced,Bodyweight,None,Cardio-Focus,Low-Calorie
25,Female,183,72,21.5,Weight Loss,Light,Medium,Balanced,Bodyweight,None,Beginner-Home,Low-Calorie
31,Other,156,65,26.7,Maintenance,Moderate,High,Vegetarian,Basic,None,Beginner-Home,Balanced
24,Female,183,60,17.9,Weight Loss,Moderate,High,Low-Calorie,Bodyweight,None,Cardio-Focus,Balanced
22,Female,161,87,33.6,Weight Loss,Active,Medium,High-Protein,Bodyweight,None,Cardio-Focus,Low-Calorie
19,Male,183,76,22.7,Maintenance,Light,Medium,Balanced,Bodyweight,Diabetes,Low-Impact,Balanced
20,Male,184,63,18.6,Muscle Gain,Moderate,Medium,Balanced,Bodyweight,None,Intermediate-Gym,High-Protein
23,Male,169,73,25.6,Muscle Gain,Light,Low,Low-Calorie,Bodyweight,None,Intermediate-Gym,High-Protein
19,Male,182,68,20.5,Weight Loss,Light,Medium,Vegetarian,Basic,None,Beginner-Home,Low-Calorie
19,Male,182,76,22.9,Weight Loss,Moderate,Low,High-Protein,Basic,None,Cardio-Focus,Low-Calorie
17,Female,189,76,21.3,Weight Loss,Light,Low,Balanced,Basic,None,Beginner-Home,Low-Calorie
26,Other,165,69,25.3,Muscle Gain,Active,Medium,High-Protein,Gym,None,Strength-Focus,High-Protein
42,Female,163,90,33.9,Muscle Gain,Active,Medium,Vegetarian,Gym,None,Strength-Focus,High-Protein
43,Female,187,65,18.6,Weight Loss,Active,Medium,High-Protein,Gym,None,Cardio-Focus,Low-Calorie
41,Male,154,63,26.6,Weight Loss,Moderate,Low,Balanced,Basic,Hypertension,Low-Impact,Balanced
19,Other,151,86,37.7,Maintenance,Active,Medium,High-Protein,Basic,Diabetes,Low-Impact,Balanced
20,Male,182,79,23.8,Maintenance,Light,Medium,Vegetarian,Gym,None,Intermediate-Gym,Balanced
29,Male,163,65,24.5,Maintenance,Moderate,Medium,High-Protein,Bodyweight,Diabetes,Low-Impact,Balanced
34,Other,167,59,21.2,Weight Loss,Sedentary,Medium,Balanced,Bodyweight,None,Beginner-Home,Low-Calorie
